PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BWMu,5r2/4k1p1/p3p3/2P3pR/8/6P1/r4PK1/7R w - - 0 32,h5g5 a2f2 g2h3 f8h8 h3g4 h8h1,1437,76,96,14896,crushing endgame long rookEndgame skewer,https://lichess.org/nKoKdUzN#63,
0BWTq,6k1/p2Q1p1p/2p3p1/7P/2P5/1P4N1/q4PPK/4r3 b - - 0 30,a2f2 d7d8 g8g7 h5h6 g7h6 d8h4 h6g7 g3h5 g6h5 h4f2,2508,78,80,102,advantage attraction discoveredAttack endgame veryLong,https://lichess.org/SrdEJ2Y3/black#60,
0BWV6,2r4k/p3Qpn1/4pNp1/1p4qp/8/1P2N2P/P3PPB1/6K1 w - - 2 34,e7f7 c8c1 e3f1 c1f1 g1f1 g5c1,1265,77,62,262,attraction backRankMate long mate mateIn3 middlegame pin sacrifice,https://lichess.org/TMghKCIL#67,
0BWZK,1n1rrq1k/7p/5pbN/pp1B4/2pP1Q2/P1N4P/1P3P1K/6R1 b - - 2 33,f8d6 f4d6 d8d6 g1g6 h7g6 h6f7 h8g7 f7d6,1897,76,80,47,advantage fork middlegame sacrifice veryLong,https://lichess.org/CyHwpBNI/black#66,
0BWZN,r3r1k1/2R1bpp1/4p2p/4N3/1q3P2/8/4Q1PP/5R1K b - - 0 26,a8c8 e5c6 c8c7 c6b4 e7b4 e2b5,2048,74,90,1329,advantage long middlegame,https://lichess.org/dqERtCSh/black#52,
0BWaZ,5rk1/3R2p1/p4pNp/8/1p2n3/8/Pr4PP/5RK1 b - - 1 31,f8c8 g6e7 g8h7 e7c8,871,98,95,2245,advantage endgame fork short,https://lichess.org/sJiOyU4O/black#62,
0BWas,8/2r2pK1/4pN2/1k2P3/p5p1/Pp6/5P2/1R6 w - - 0 55,f6g4 f7f5 g7f6 f5g4,1312,76,92,2444,crushing discoveredAttack endgame short,https://lichess.org/VwTLgFqJ#109,
0BWlG,2r5/6b1/p1nB1pk1/1b2pN2/3pP1P1/3P4/5K2/R4B2 b - - 1 32,c6d8 f5e7 g6f7 e7c8,905,92,94,319,crushing fork middlegame short,https://lichess.org/vXbLo9R3/black#64,
0BWlb,2n5/8/5kp1/2K2p1p/2B2P1P/8/5P2/8 b - - 4 41,c8e7 c5d6 e7c8 d6c7,1795,74,92,439,crushing defensiveMove endgame master short,https://lichess.org/8d7txuh8/black#82,
0BWoy,6k1/pb1r1p1p/1p3Qp1/1BnP4/4q3/5N2/P4PPP/3R2K1 b - - 8 24,d7d5 d1e1 e4e1 f3e1,2030,74,86,288,advantage master middlegame short,https://lichess.org/7nslKivg/black#48,
0BWrH,3k4/ppp1R1p1/6N1/5Pp1/P4n2/6rP/3r2PK/6R1 w - - 7 38,e7g7 g3h3,1477,90,84,1536,endgame mate mateIn1 oneMove pin,https://lichess.org/ovVUzyPz#75,
0BWtu,6r1/5p1p/4b3/p3R2k/1p1B1K2/1P6/P5P1/8 b - - 3 39,h5g6 e5g5 g6h6 g5g8,962,80,90,647,crushing endgame short skewer,https://lichess.org/cmitU04M/black#78,
0BWzF,r2qk1r1/pp1bn1bp/2np1p2/2p1pP2/4P3/2PP1N1P/PP2B3/RNBQK1R1 w Qq - 2 12,c1h6 g7h6 g1g8 e7g8,1028,84,84,71,advantage hangingPiece opening short,https://lichess.org/JBBIIe0u#23,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
0BX1P,2b2r1k/6r1/p1Q5/PpP3p1/1P1R4/1B5P/5qPK/8 b - - 1 42,f2d4 c6h6 g7h7 h6f8,802,85,96,375,endgame mate mateIn2 short,https://lichess.org/3qpUTzHC/black#84,
0BX4A,7r/4bp1k/q1np3Q/1p2pN2/4P3/n1P2N1P/5PP1/5RK1 b - - 3 25,h7g8 h6g7,1125,75,93,241,mate mateIn1 middlegame oneMove,https://lichess.org/98PiMbTl/black#50,
0BX5m,2kr3r/pp4pp/8/2N1p1P1/3n4/3Q1P2/qPP2P2/2KR3R w - - 0 18,d3a3 d4e2,995,76,100,713,mate mateIn1 middlegame oneMove,https://lichess.org/wARjta8S#35,Trompowsky_Attack Trompowsky_Attack_Raptor_Variation
0BXBN,r2qk2r/1p2bppp/p2pbn2/2p1p1B1/2P1P3/2N2NQ1/PPP2PPP/R3K2R w KQkq - 6 12,b2b3 d8a5 f3d2 f6h5 g3d3 e7g5,2192,77,81,87,advantage discoveredAttack long middlegame pin,https://lichess.org/H8fLL9lT#23,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
0BXJH,2r3k1/5ppp/p3p3/1p2P1N1/5P2/Pq1p4/1P1Q3P/5R1K w - - 0 28,f1c1 c8c1 d2c1 b3c2 c1c2 d3c2,1984,76,93,11250,advancedPawn crushing endgame long,https://lichess.org/Vna9j61Y#55,
